ProjectAccession,InclusionReason
PXD014821,"Validating file 16_TG3_3frags_deltaBy4_2linkFDR.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 16_TG3_3frags_deltaBy4_2linkFDR.mzid is schema invalid."
PXD016224,"Validating file 190530_JJanetzko_Kobilika_05_rep_01_Slot2-32_01_4248.d_20191107_Byonic.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 190530_JJanetzko_Kobilika_05_rep_01_Slot2-32_01_4248.d_20191107_Byonic.mzid ..."
PXD016442,"Validating file 20190124rs_11676_HA10299_4F272362.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20190124rs_11676_HA10299_4F272362.mzid is schema invalid."
PXD016446,"Validating file 20180911rs_11287_WB_5F268353.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20180911rs_11287_WB_5F268353.mzid is schema invalid."
PXD016448,"Validating file 20190819_rs_12428_VPS25_4_H_FTHCDF279704.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20190819_rs_12428_VPS25_4_H_FTHCDF279704.mzid is schema invalid."
PXD016487,"Validating file 20180625rs_HA_CHMP7_10F265662.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20180625rs_HA_CHMP7_10F265662.mzid is schema invalid."
PXD017290,"Validating file Mudpit_MassSpectrumF001689.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Mudpit_MassSpectrumF001689.mzid is schema invalid."
PXD017792,"Validating file XLE1aE2o.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File XLE1aE2o.mzid is schema invalid."
PXD017873,"Validating file 20200302_072815_PBS_X02_02.raw.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20200302_072815_PBS_X02_02.raw.mzid is schema invalid."
PXD018291,Validating file pDSPE-Ecoli-chargestate-3-7.mzid. | No schema location found in the XML document. | File pDSPE-Ecoli-chargestate-3-7.mzid is schema invalid.
PXD018701,"Validating file 171204_A10.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 171204_A10.mzid is schema invalid."
PXD019017,Validating file TRY_AMPK_DSSO_XL-MS.mzid. | No schema location found in the XML document. | File TRY_AMPK_DSSO_XL-MS.mzid is schema invalid.
PXD019713,Validating file mapx_xlink_16.mzid. | No schema location found in the XML document. | File mapx_xlink_16.mzid is schema invalid.
PXD019771,"Validating file 190910_A6.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 190910_A6.mzid is schema invalid."
PXD019868,Validating file mapeixiang_xlink_CD38_2-100.mzid. | No schema location found in the XML document. | File mapeixiang_xlink_CD38_2-100.mzid is schema invalid.
PXD019944,Validating file mapx_xlink_13-4.mzid. | No schema location found in the XML document. | File mapx_xlink_13-4.mzid is schema invalid.
PXD020418,"Validating file Arr_both.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Arr_both.mzid is schema invalid."
